obj0,obj1,obj2,cpu
1859,3763,3134,0.297476
1800,4774,2621,0.29751
2151,4618,2199,0.297534
4899,1573,2979,0.297556
4416,1401,3296,0.297579
2078,4200,2482,0.297607
1333,4742,3729,0.29764
1506,4320,3485,0.297661
2392,3052,3101,0.297686
4039,1235,4280,0.297718
2323,2657,4475,0.297747
4572,1890,2695,0.297771
2056,3673,2923,0.297794
2229,3497,2881,0.297835
3316,3622,1915,0.297869
3887,1594,3487,0.297922
3658,1810,3331,0.297951
3530,1756,3584,0.297992
1549,4830,3151,0.29802
1554,4778,3148,0.298049
2984,4209,1780,0.298076
2605,4402,1965,0.298104
3595,4023,1489,0.298129
2324,4442,2157,0.298154
2778,4226,1923,0.298189
3950,2840,1966,0.324071
4637,3185,1565,0.324141
4882,2334,2069,0.324169
4023,3258,1683,0.324196
4048,2145,2626,0.324227
3860,2049,2906,0.324304
4839,2069,2281,0.324354
4110,3597,1494,0.324385
4429,3233,1576,0.32443
3325,2350,3020,0.32447
4270,3339,1561,0.324505
4182,3152,1698,0.324542
3833,3931,1446,0.392847
4593,1349,3381,0.393205
3508,2960,2226,0.39327
3739,3312,1768,0.393389
3533,3329,1911,0.393473
2555,4070,2247,0.393527
3215,3837,1870,0.393581
4442,1321,3585,0.393801
3215,2411,3014,0.393872
2820,3054,2787,0.393928
3009,3854,2013,0.394031
3079,3545,2145,0.394095
3299,2684,2668,0.394158
2842,3581,2346,0.394217
3054,3176,2460,0.394272
3274,2838,2553,0.394325
3608,3301,1993,0.414351
3452,2290,2954,0.414411
3678,3877,1584,0.414471
2748,3212,2676,0.457794
3522,2289,3006,0.457855
3424,2984,2346,0.457879
2907,3185,2515,0.457907
2500,4217,2248,0.457973
4960,1128,3498,0.458002
4033,1767,3297,0.45804
5177,817,3979,0.458065
4388,2207,2543,0.458116
3254,3999,1749,0.458139
3461,4021,1620,0.458168
3468,4301,1487,0.458191
4731,1344,3342,0.458298
3261,4279,1616,0.458325
3343,2640,2763,0.458371
3461,1900,3542,0.487113
3525,3447,1898,0.48723
2254,3866,2566,0.487264
1417,4100,3927,0.487306
1633,4188,3349,0.487328
2708,3650,2332,0.487356
3298,3061,2399,0.487381
3810,1451,4124,0.487408
2914,3633,2189,0.487435
2057,3956,2777,0.487467
2649,3223,2793,0.487504
3033,2651,3003,0.48756
3092,3078,2542,0.487587
1647,3594,4348,0.487615
1811,3960,3304,0.4877
3965,1476,3828,0.508849
3736,3169,2018,0.508936
3688,1643,3640,0.508968
2532,3984,2248,0.509037
3766,1873,3283,0.509153
4139,2887,1910,0.539526
3002,2699,2922,0.53963
2583,3843,2301,0.539667
4114,2518,2225,0.539698
3274,3068,2296,0.539734
3190,2795,2642,0.539774
3120,4409,1635,0.539824
2862,4244,1875,0.539854
3513,2446,2740,0.539888
2795,3438,2415,0.539996
4247,2247,2407,0.540031
4688,3539,1455,0.540069
3597,2719,2394,0.540101
4480,3587,1466,0.540184
1208,4578,4161,0.5735
1352,4992,3466,0.573573
4723,2440,2054,0.573817
4478,3291,1550,0.573859
4639,2167,2400,0.574159
3778,2837,2119,0.61531
2845,3423,2472,0.615434
2983,2702,3096,0.615485
4099,2061,2700,0.615526
3299,3207,2238,0.615601
3240,2780,2699,0.6157
2588,3345,2869,0.615792
3324,3053,2353,0.616032
4074,2929,1918,0.645349
3775,2995,1993,0.645453
3978,2340,2496,0.645549
3296,3365,2112,0.645588
3744,2218,2823,0.645635
2766,4039,1986,0.690398
4051,1262,3870,0.69051
2058,4143,2586,0.690581
1861,4233,2797,0.690641
3880,1610,3440,0.690711
4103,1148,4333,0.690777
1329,3984,4622,0.690835
2610,2584,3771,0.690888
3525,1813,3595,0.690944
1467,4373,3420,0.690988
2453,3500,2813,0.691028
2334,2763,4236,0.691067
2959,2135,4353,0.691153
3874,1364,4177,0.691196
1763,3826,3511,0.691243
1608,3561,4697,0.691302
3136,2033,4046,0.691481
3985,1315,3858,0.717382
2769,4353,1810,0.717495
3286,4152,1641,0.717561
1606,4656,2967,0.717615
1385,4620,3548,0.717673
3939,1843,3178,0.717728
3399,3476,2010,0.717791
3277,3034,2406,0.717844
3888,1305,4515,0.717918
2637,4627,1873,0.717986
3071,2863,2774,0.736737
4101,3729,1545,0.736797
3699,3419,1877,0.764686
3182,3620,2046,0.764808
2634,3821,2402,0.764933
3216,4216,1674,0.789014
4260,1207,3996,0.789147
2941,3781,2143,0.78932
1932,4181,2851,0.789367
2129,4091,2640,0.789418
3141,3692,2086,0.789465
3740,3135,2061,0.823004
2530,4425,2014,0.823107
2638,3294,2776,0.82326
2868,3363,2426,0.840282
3511,2567,2654,0.840455
2846,2836,2867,0.840841
2414,3579,2660,0.840977
3333,1846,3795,0.841055
2798,2306,3577,0.865626
2214,3032,3481,0.865742
2368,2966,3270,0.865811
1878,3653,3303,0.865895
2445,2544,4221,0.86598
2032,3587,3092,0.866044
1900,4180,2862,0.86611
2930,2993,2793,0.91224
3392,3706,1843,0.912348
3909,3505,1674,0.912464
3349,3441,2055,0.912545
2906,3494,2399,0.912673
3118,3089,2513,0.912761
3840,2323,2655,0.946059
3924,2596,2309,0.946279
4516,2418,2183,0.946353
4432,2145,2529,0.946422
3148,2049,4018,0.94656
4603,2757,1994,0.94677
3546,3518,1859,0.946865
2472,4671,2107,0.986256
3541,3945,1616,0.986325
3753,3540,1730,0.986456
2385,4332,2296,0.986546
3840,3879,1541,0.986623
3847,4159,1408,0.986713
3259,3615,1971,1.03102
3716,2718,2293,1.03121
4405,2045,2727,1.03128
3738,3245,1852,1.03135
3471,3210,2085,1.03153
3332,4033,1688,1.03162
3528,2622,2573,1.03176
2783,3304,2646,1.03211
3237,3088,2412,1.03264
3262,2934,2527,1.03277
3935,3752,1521,1.05348
4799,2480,1974,1.05364
3196,3959,1871,1.05369
3034,3700,2128,1.05375
3558,3175,2026,1.05382
3488,3484,1894,1.05387
2761,4053,2104,1.09826
3261,2437,2967,1.11223
3790,2244,2776,1.11235
2866,3080,2740,1.11256
3799,2494,2387,1.11261
3449,2533,2687,1.11269
3533,2806,2341,1.11275
3840,2807,2245,1.13263
1766,3582,4051,1.16019
3249,3389,2218,1.1603
2607,4066,2147,1.16047
2388,3629,2799,1.16053
2889,4781,1545,1.16058
2757,5055,1608,1.16064
2547,3602,2638,1.16071
2565,5184,1869,1.1608
4798,758,4382,1.20323
2947,4459,1639,1.20335
3402,3318,2136,1.20344
4494,1499,3200,1.20353
4311,1187,3724,1.20359
3433,4827,1278,1.20366
3785,1738,3449,1.20373
2741,4476,1782,1.20379
2568,4652,1824,1.20385
3283,3838,1817,1.20391
3462,2087,3351,1.20403
2287,4692,2016,1.20415
4314,1545,3258,1.20426
4540,971,3880,1.20431
4150,1867,2999,1.20436
3413,2394,2903,1.2271
3453,1620,4320,1.22724
2192,3747,2740,1.2273
3104,2069,3738,1.22737
3459,1866,3583,1.22743
3630,1518,4013,1.22749
2214,4274,2299,1.22754
2019,3923,2782,1.22761
2587,3104,2967,1.22768
2646,3531,2506,1.22773
2033,3774,2901,1.2278
3157,3430,2170,1.22786
2882,3677,2179,1.22792
3058,2597,3058,1.22798
2940,2391,3479,1.22804
3774,1855,3269,1.24066
1963,3970,2876,1.24077
2831,3613,2285,1.24086
3616,1968,3213,1.24094
4948,1033,3823,1.25867
5232,1402,3136,1.25882
5210,1103,3560,1.25888
3186,3586,2089,1.28544
3189,3900,1913,1.29939
4209,2144,2699,1.32048
1579,4738,3202,1.32062
1778,4247,3062,1.32071
2762,4432,1908,1.34691
4031,1423,3840,1.34708
4228,1333,3629,1.34719
4411,1645,3105,1.34746
4569,1532,3161,1.34755
4386,1220,3685,1.34764
3885,2196,2830,1.34772
4618,1362,3375,1.34785
4461,2720,2074,1.39882
3040,2156,3685,1.41225
2427,2944,3319,1.41234
2624,2854,3108,1.41243
3235,2668,2817,1.4125
2510,3457,2689,1.41256
2676,2419,3831,1.45009
1756,3766,3557,1.45024
2092,3145,3735,1.45032
3409,2291,3193,1.55873
3669,2216,3047,1.5588
3633,3857,1670,1.55888
3327,4431,1506,1.57628
3233,3812,1828,1.57644
2781,3587,2296,1.57656
2350,3555,2834,1.57668
2868,3926,2107,1.57683
3137,3173,2367,1.60892
3544,3628,1802,1.63598
1924,4872,2463,1.63613
1705,4435,3115,1.6362
3825,3584,1663,1.65824
4037,3179,1777,1.65835
3707,2468,2682,1.65845
3941,2590,2355,1.65861
3809,2165,2993,1.67838
3949,2212,2681,1.67851
4478,2019,2490,1.67864
4519,1735,2979,1.67882
4183,2334,2354,1.67887
3474,2902,2372,1.68756
3735,3565,1772,1.70799
4441,2463,2271,1.72911
3947,3264,1757,1.72921
4233,2511,2282,1.72926
3704,2704,2473,1.72931
3826,3651,1579,1.72937
3320,2864,2506,1.73888
3147,3040,2548,1.73912
3321,3211,2227,1.74868
3794,2184,2923,1.76353
4109,1394,3596,1.79847
2882,4501,1678,1.7986
3708,2125,3071,1.79873
1836,3864,3112,1.87172
1611,3721,4044,1.87192
2609,3631,2526,1.87873
2764,2510,3306,1.89041
3531,1584,3977,1.89046
3020,2106,3686,1.89052
1699,3472,4167,1.89057
2923,2483,3145,1.89062
1947,3100,4222,1.89069
2196,3329,3121,1.89075
3871,1397,4181,1.89079
1975,3293,3702,1.89084
2528,3126,2918,1.89089
2369,3153,3079,1.89096
2328,3665,2573,1.89101
3255,2380,3165,1.89751
4544,2574,2169,1.94859
3367,4006,1742,1.97914
3497,3402,2063,1.97928
3161,4023,1885,1.97934
3274,2382,3121,2.00822
2465,3470,2818,2.01625
2487,3997,2377,2.01632
1311,4215,4170,2.0433
4389,1578,3219,2.04343
1532,4251,3589,2.04349
2460,3849,2423,2.09745
2844,3277,2633,2.09759
3071,3663,2132,2.09766
3513,3737,1794,2.09773
1638,3727,3715,2.10983
2151,3123,3784,2.11431
2646,3381,2667,2.11438
2666,2516,3937,2.12156
1974,3106,3893,2.12168
2171,3016,3682,2.12175
2982,2760,2845,2.12466
2683,3281,2647,2.14889
4163,1974,2753,2.18474
4087,1739,3136,2.18491
3732,1942,3291,2.18501
3945,3188,1899,2.2155
4157,2783,2013,2.21556
3385,3124,2280,2.21563
3640,2984,2182,2.21568
3963,1660,3398,2.2158
3972,1910,3009,2.2159
4039,1895,3015,2.21597
1537,4539,3270,2.30168
2359,4347,2267,2.30183
3062,3473,2182,2.32101
3700,2276,2967,2.32124
1544,4863,3205,2.32149
3162,3363,2243,2.33627
3441,3764,1817,2.33642
3852,2306,2773,2.33651
3664,2210,3053,2.33667
2918,2736,3019,2.33679
2523,3379,2792,2.33687
1429,4614,3580,2.40889
4810,2779,1865,2.4091
3762,2744,2246,2.42108
3408,3554,1985,2.45672
3442,3896,1767,2.45686
4458,2742,2048,2.51588
3042,3129,2635,2.53289
3505,3190,2095,2.53304
3285,3528,2002,2.5425
3379,4147,1680,2.54257
2693,3256,2782,2.56436
2669,3757,2388,2.56442
2881,3352,2502,2.56448
3345,2710,2621,2.56454
2750,4775,1741,2.63199
2745,4827,1744,2.63214
4234,1574,3346,2.63219
2909,4748,1580,2.63225
4229,1161,4022,2.64366
3261,3311,2258,2.67024
1615,4237,3324,2.6704
1272,4182,4519,2.69267
3729,4231,1474,2.69288
2948,3534,2370,2.69295
3472,3894,1727,2.69302
5019,1112,3630,2.70779
3160,2579,3121,2.72043
1469,4570,3344,2.73117
1325,4156,4039,2.73124
1822,4013,2993,2.73132
1995,3837,2951,2.73139
2603,4100,2104,2.74514
2610,4380,1971,2.74524
2055,4301,2460,2.7453
2478,4654,2034,2.74537
2430,4276,2146,2.74545
2739,3460,2601,2.74554
2355,3302,2960,2.76515
2263,3008,3632,2.7653
3429,1905,3595,2.77322
2723,3022,2800,2.7733
3293,2317,3115,2.77342
3113,2061,3888,2.77349
2488,2689,3771,2.77356
2740,2332,3884,2.78364
2432,2879,3323,2.78376
2417,2681,3786,2.78383
1778,3383,3913,2.78392
4219,1491,3507,2.9438
4043,2083,2886,2.96672
4089,1555,3566,2.967
3114,3605,2101,3.06253
3320,3588,1958,3.06272
3356,3707,1851,3.0628
3532,3727,1765,3.06736
3520,4017,1661,3.0773
2902,3923,2085,3.07745
2696,3940,2228,3.07759
2660,3821,2335,3.09158
2866,3804,2192,3.09172
1583,3942,3599,3.10748
3761,2117,3092,3.1199
1919,3321,3777,3.12342
3292,2130,3306,3.1285
3691,2001,3174,3.12857
2684,2412,3751,3.1309
3452,2982,2412,3.1647
2840,3311,2590,3.17376
4258,1391,3566,3.19247
4607,940,4459,3.22339
4549,1376,3340,3.22363
3082,2414,3278,3.24292
3437,2211,3123,3.24316
3608,1863,3553,3.24325
2687,3057,3051,3.24335
3409,2623,2674,3.25461
3926,2422,2505,3.2547
3197,3028,2560,3.25477
3851,1799,3295,3.25484
1474,4287,3614,3.37832
2611,3327,2916,3.37839
1819,3826,3389,3.40333
2038,4263,2737,3.40344
2399,4183,2415,3.40353
3361,3407,2107,3.41842
3317,2607,2887,3.4408
3971,2806,2178,3.4667
3740,2445,2670,3.46693
3731,2195,3059,3.467
3308,3785,1832,3.49665
3033,3350,2301,3.49704
2889,4491,1777,3.50207
3844,4230,1337,3.51632
3958,3563,1648,3.51658
3750,3611,1659,3.51667
3444,4218,1614,3.55663
3254,3362,2221,3.63758
3645,3514,1837,3.64851
4095,3494,1588,3.71647
4182,3833,1399,3.71699
3393,3282,2223,3.74527
3575,3766,1686,3.75195
3369,3783,1829,3.7521
3493,3480,1991,3.77093
3372,3867,1813,3.7711
4071,2571,2384,3.78352
4028,2306,2596,3.78367
3840,2210,2876,3.78375
3237,2938,2573,3.80941
3133,3115,2507,3.80962
3229,2993,2536,3.83716
2647,3230,2829,3.86967
3111,2588,2948,3.86983
4458,945,4178,3.89278
4286,1455,3479,3.93194
3421,2599,2845,3.94455
2331,3007,3696,3.95621
1152,4578,4283,3.97185
1296,4992,3588,3.97196
1895,4431,2710,3.97206
1679,5074,2684,3.98954
2128,4719,2177,3.98981
3401,2310,3239,4.07791
2490,3416,2873,4.08857
2543,3636,2595,4.08866
2668,4058,2065,4.10379
2495,4234,2107,4.10402
1832,3757,3463,4.10413
1584,4129,3408,4.11632
1560,4043,3577,4.11646
1661,4441,3083,4.12151
3289,1942,4061,4.13024
2751,2782,3226,4.15509
2554,2872,3437,4.15524
3168,3115,2502,4.16515
2651,3316,2671,4.16527
2478,3492,2713,4.16535
2168,3136,3641,4.16542
2473,3544,2716,4.16549
2614,2852,3210,4.16555
2787,2676,3168,4.16563
2519,2980,3219,4.1657
3588,1878,3434,4.17026
2761,2556,3436,4.17035
2903,2456,3320,4.17826
3252,2007,3902,4.17843
1920,3508,3586,4.18393
2101,3034,4011,4.20058
2853,2136,4034,4.20419
3738,2679,2530,4.32636
3990,1707,3351,4.47026
3680,2337,2890,4.47287
2574,3952,2400,4.49514
3860,1771,3410,4.53107
1835,3637,3504,4.67054
3162,2194,3365,4.70807
3221,2621,2904,4.76354
2820,2833,3136,4.76368
3905,2765,2237,4.8049
3703,3522,1817,4.80506
3816,2436,2708,4.80515
4601,1637,3051,4.81754
4290,2512,2195,4.81771
3869,3169,1957,4.81786
5006,811,4327,4.85531
4633,1649,2994,4.85557
4091,2410,2414,4.88431
3556,2711,2528,4.88471
4015,2175,2797,4.88491
3917,2172,2894,4.91869
3128,3330,2373,5.12891
3113,4129,1768,5.13634
2622,3614,2457,5.17326
3520,3380,1946,5.25054
3245,2945,2415,5.25079
3041,3750,2065,5.2509
3320,4151,1639,5.25099
3101,4086,1891,5.25514
3020,4153,1904,5.34331
2705,4425,1964,5.40356
4338,1972,2802,5.53707
4197,1836,3047,5.56612
2915,3999,2063,5.75465
3121,3982,1920,5.75488
3767,2333,2793,5.7923
3587,2899,2273,5.79244
2914,2678,3159,5.83381
3161,4078,1753,6.00496
2925,3932,2080,6.06105
2450,4247,2236,6.07439
2904,4031,2002,6.0746
1460,4637,3336,6.09032
1657,4547,3125,6.09059
1704,4951,2749,6.10072
4191,1583,3488,6.19626
4014,1522,3605,6.23608
2764,3471,2600,6.25831
3106,4048,1816,6.26898
2584,4301,1988,6.26914
2205,4128,2600,6.27888
1986,3691,3252,6.27898
2183,3601,3041,6.27906
3865,1711,3622,6.33464
3293,2790,2667,6.35096
2779,3020,2983,6.35112
2906,2212,3860,6.35864
3613,1610,3679,6.37015
3087,2161,3404,6.37034
2925,2234,3695,6.37045
3146,2588,2943,6.37054
2692,2804,3177,6.37063
3062,2429,3159,6.379
2900,2502,3450,6.37934
3411,1980,3741,6.37952
3654,2251,3033,6.37967
2494,3248,2974,6.37992
2982,2910,2684,6.38525
3493,2006,3443,6.38537
2809,3086,2726,6.38545
2508,3099,3093,6.38916
1992,3380,3529,6.40142
1819,3556,3571,6.40154
1833,3407,3690,6.40162
2259,3055,3365,6.4041
2387,2737,3756,6.41556
3012,2109,3873,6.41568
3150,3724,1994,7.11453
3326,3744,1908,7.1266
2865,3680,2275,7.1637
2935,4256,1866,7.20051
3439,2027,3553,7.27161
2625,2800,3448,7.29163
3240,2380,3239,7.41224
2897,2773,3079,7.44256
5417,1232,3256,7.5037
5133,1045,3650,7.50414
4386,2968,1788,7.50438
3866,3240,1886,7.50451
4594,2920,1777,7.50478
5315,1852,2497,7.50495
4206,2239,2541,7.52491
4105,2268,2614,7.68844
3692,2300,2832,7.70586
3689,1942,3298,7.70607
3332,1981,3856,7.71731
3808,2162,3061,7.94101
3003,3390,2404,8.04593
2364,3406,2953,8.0462
2759,2763,3180,8.04637
2191,3582,2995,8.04655
2814,2913,2953,8.12781
2863,3978,2110,8.1829
3048,4030,1932,8.1937
4058,3744,1447,8.31033
3534,4269,1549,8.31058
4145,4083,1258,8.31067
3946,4380,1268,8.3162
3074,2838,2807,8.50919
3755,2881,2189,8.59195
3865,3176,1930,8.59693
4717,1605,2977,8.66543
4488,1821,2821,8.67198
3620,3668,1722,8.87218
3627,3948,1589,8.87226
3166,3884,1956,8.90597
3716,2912,2215,8.9562
3335,3136,2268,8.96399
3009,3331,2443,9.02389
2775,3209,2770,9.11272
2697,4910,1806,9.14875
2725,4682,1767,9.32066
3352,4290,1491,9.32087
3179,4466,1533,9.32096
2815,4733,1702,9.33691
1633,4461,3294,9.39902
1924,4445,2654,9.40893
1727,4535,2865,9.40915
1490,4462,3398,9.42492
1736,4458,2871,9.42516
1933,4368,2660,9.42527
1488,4863,3327,9.42537
1709,4899,2746,9.42547
3991,1894,3160,9.58009
4543,1329,3414,9.63718
3257,3345,2215,9.67873
2473,3707,2548,9.69905
1601,3977,3574,9.69925
1863,4430,2721,9.70613
1639,3914,3524,9.72809
2384,3663,2756,9.73363
3844,1971,3187,9.78368
3890,1443,3867,9.7839
2909,2669,3282,9.80592
2436,2832,3590,9.81095
2105,2987,4278,9.82228
2730,2359,4395,9.82248
2163,3188,3644,9.82855
2973,2764,2985,9.82865
2514,3032,3222,9.82873
2667,3072,2932,9.83459
2489,3300,2977,9.83483
2720,3068,2930,9.84043
2127,2934,4495,9.87609
3303,2019,3766,9.89856
3779,4117,1461,10.1755
3211,4268,1677,10.3319
3389,4040,1632,10.5683
3761,3538,1703,10.5685
3307,3754,1937,10.6321
3569,1963,3494,10.7186
3393,2555,2873,10.7211
2767,2837,3138,10.8905
4664,1121,3694,10.9073
5178,1019,3609,10.9075
5267,756,4077,10.9076
4521,1674,2954,10.9076
4309,1324,3849,10.9077
4755,1796,2627,10.9078
4679,1561,3010,10.9079
4816,1961,2470,10.9191
5255,1433,3003,10.9195
5501,1505,2910,10.934
4571,2812,1966,10.9343
4528,2547,2178,10.9344
5231,1579,2843,10.9624
3880,2396,2552,11.2028
3877,2038,3018,11.2032
3426,2612,2786,11.2035
2624,3331,2807,11.6659
3045,3716,2108,11.8569
3159,4209,1730,11.9546
3499,3783,1785,12.0029
3835,3162,1963,12.0032
4511,2845,1940,12.0417
4489,2318,2381,12.0419
3918,2679,2372,12.1613
3730,2583,2652,12.1616
3550,3149,2132,12.1617
3565,3829,1763,12.1665
3980,2798,2198,12.3439
4548,2595,2081,12.3833
4712,1849,2786,12.4486
3123,3541,2154,12.8588
4563,1288,3667,13.0639
3426,4547,1411,13.284
3359,4570,1358,13.3034
1373,4614,3702,13.3172
1239,4601,3917,13.3706
1458,5038,3265,13.371
2669,3957,2295,13.418
3204,3125,2493,13.7535
1981,3743,3255,13.7625
2178,3653,3044,13.7627
1827,3809,3466,13.7627
1546,4192,3458,13.7808
1363,4093,3989,13.8058
2425,4328,2149,13.8171
3808,1417,4165,13.8946
2341,2960,3599,13.9835
2136,3794,2834,13.9956
2156,3058,3788,14.0434
1983,3234,3830,14.0437
1978,3286,3833,14.0438
1661,3535,4217,14.0533
1937,3356,3752,14.0534
1527,4303,3592,14.5667
3768,3818,1570,14.7999
4798,2061,2415,15.1514
4732,1688,2816,15.1742
4778,1160,3496,15.1745
5260,897,3817,15.1746
5424,1091,3516,15.1984
5508,1364,3170,15.1988
3923,2661,2340,15.5275
3850,2187,2888,15.6109
3234,3742,1946,15.9993
3086,2972,2576,16.1085
3746,3864,1663,16.457
3623,3567,1849,16.4612
3679,3162,2074,16.6602
4572,2094,2475,16.9279
4596,1707,2915,16.9937
3959,2014,3012,17.0431
3831,1960,3265,17.4297
4310,1794,3116,17.7402
1619,4610,3175,17.9608
1368,4666,3705,17.9611
2471,4148,2314,17.9773
1634,4375,3158,18.1036
4352,1828,3078,18.3117
3101,4100,1819,18.459
3318,2522,2912,18.6868
2968,2816,2988,18.7319
2298,2944,3800,18.7359
2285,2955,3849,18.8441
1656,4360,3316,19.3052
4648,2212,2396,19.9358
4605,1947,2608,19.9537
5262,1292,3263,19.954
5029,2605,1972,20.0769
4038,2283,2608,20.4547
3868,1788,3407,20.4975
4029,2033,2997,20.4999
2451,3507,2849,21.0669
3660,3317,1990,21.9399
3848,3413,1710,21.9402
4796,2122,2440,21.996
4565,2358,2301,21.9963
4669,1584,2998,22.0645
3601,2033,3365,22.8116
3249,1992,4060,22.852
2720,4734,1770,22.8815
1936,4848,2438,22.9096
2493,4675,1873,22.9229
2361,4949,1936,22.9232
1868,4872,2585,22.9233
1812,4147,3113,23.1055
2739,4533,1886,23.1392
2746,4813,1753,23.1395
2725,3609,2482,23.4974
2704,3905,2224,23.5026
3364,1994,3592,23.7433
2254,3107,3368,23.924
4740,1356,3311,24.7727
4959,1337,3252,24.7774
5161,1298,3331,24.7775
3992,1867,3145,25.0524
4076,2140,2799,25.0527
2730,4518,1938,25.9796
4158,3975,1382,26.3808
3426,3365,2068,26.6354
4147,3676,1491,26.9571
4355,3628,1480,26.9574
5055,2810,1851,27.0007
4847,2858,1862,27.0009
4035,2165,2856,27.2438
2614,5087,1816,27.8678
2485,3468,2876,28.2613
5043,1610,2906,29.2925
4824,1629,2965,29.2979
5089,790,4209,29.3244
4718,2788,1987,29.7799
4600,1309,3623,29.9265
4535,2344,2334,30.8908
3214,3770,1954,31.0658
4753,1857,2652,31.2567
5060,828,4119,32.2955
5209,1280,3267,33.3314
5182,2738,1969,33.4111
3638,4247,1480,34.5523
3872,2912,2104,34.9798
4518,1316,3420,36.4357
4602,1589,3074,36.4359
5000,1053,3741,36.436
5084,1326,3395,36.4361
5293,1553,2921,36.5247
1542,4988,3061,38.3359
1863,4924,2588,40.5181
